ID,NAME,TYPE,PARENT_ID
1607,Thailand,MC,1630
1609,Egypt,MC,1632
1610,Ukraine,MC,1629
1611,Malaysia,MC,1630
1612,Malta,MC,1629
1613,Mainland of China,MC,1630
1614,Uruguay,MC,1627
1615,Japan,MC,1630
1616,New Zealand,MC,1630
1617,Kenya,MC,1632
1618,Russia,MC,1629
1619,Spain,MC,1629
1620,Finland,MC,1629
1621,United States,MC,1627
1622,Turkey,MC,1629
1623,Sri Lanka,MC,1630
1624,Belgium,MC,1629
1625,United Arab Emirates,MC,1632
1626,AIESEC INTERNATIONAL,AI,
1627,Americas,Region,1626
1629,Europe,Region,1626
1630,Asia Pacific,Region,1626
1632,Middle East and Africa,Region,1626
1633,CityU,LC,1594
1636,URL Barcelona,LC,1619
1637,BEIRA,LC,1574
1640,MC Poland 2,LC,1564
1641,Brescia,LC,1542
1642,MRU,LC,1554
1643,Middlesex,LC,489
1645,WATERLOO,LC,1554
1647,ABC,LC,1606
